province,year,month,vv_db,vh_db
Kunar,2016,11,-8.124421947036364,-15.467786238513947
Kunduz,2016,11,,
Laghman,2016,11,-7.206356855112295,-15.876360874204657
Logar,2016,11,,
Nangarhar,2016,11,-8.391154942182201,-15.760785578918982
Nimroz,2016,11,,
Nuristan,2016,11,,
Paktya,2016,11,,
Samangan,2016,11,,
Sar-e-Pul,2016,11,,
Takhar,2016,11,,
Wardak,2016,11,,
Zabul,2016,11,,
Khost,2016,12,,
Paktika,2016,12,,
Daykundi,2016,12,,
Panjsher,2016,12,,
Parwan,2016,12,,
Uruzgan,2016,12,,
Badakhshan,2016,12,,
Badghis,2016,12,,
Baghlan,2016,12,,
Balkh,2016,12,,
Bamyan,2016,12,,
Farah,2016,12,,
Faryab,2016,12,,
Ghazni,2016,12,,
Ghor,2016,12,,
Hilmand,2016,12,,
Hirat,2016,12,,
Jawzjan,2016,12,,
Kabul,2016,12,,
Kandahar,2016,12,,
Kapisa,2016,12,,
