province,year,month,ndvi,evi
Samangan,2020,1,0.07389174034052952,0.051016643967387094
Sar-e-Pul,2020,1,0.05800209578583287,0.03323024038633629
Takhar,2020,1,0.07060498998741382,0.03333193181837922
Wardak,2020,1,-0.03285717339635245,-0.03362656522966188
Zabul,2020,1,-0.00919762253692596,-0.016652563719564497
Khost,2020,2,0.21484782618790602,0.12129099690652331
Paktika,2020,2,0.07371081854775212,0.04324292863168244
Daykundi,2020,2,0.018791790192473453,0.0028387173699842556
Panjsher,2020,2,-0.012586470404478967,-0.017490666238763743
Parwan,2020,2,0.02182568875965113,0.0030579451214470493
Uruzgan,2020,2,0.11513011958193439,0.067331548052888
Badakhshan,2020,2,-0.0029671257560025983,-0.011861993582926215
Badghis,2020,2,0.1975950842215283,0.11984545015566347
Baghlan,2020,2,0.09242717864759561,0.05487671318725571
Balkh,2020,2,0.12542063468140077,0.08308179179951547
Bamyan,2020,2,-0.002788584524674715,-0.00917327003677493
Farah,2020,2,0.10081979850300371,0.06856376380640022
Faryab,2020,2,0.18602590508449243,0.11551739464316516
Ghazni,2020,2,-0.00717765525234427,-0.015006354360086875
Ghor,2020,2,-0.00020961466712007265,-0.00820682024033325
Hilmand,2020,2,0.11989702618909073,0.08396136929101122
Hirat,2020,2,0.12044703067111052,0.07610887294007251
Jawzjan,2020,2,0.15474486612388125,0.10717902756680156
Kabul,2020,2,0.08522120523696483,0.046739490500818694
Kandahar,2020,2,0.1246329162152697,0.08483566549711619
Kapisa,2020,2,0.11898383138319822,0.06607754748651842
Kunar,2020,2,0.33382102002925684,0.1479569401577968
Kunduz,2020,2,0.18301332253604025,0.11525001032767862
Laghman,2020,2,0.2078638353382306,0.11013517851773269
Logar,2020,2,0.022746423718280773,0.008177786729724041
Nangarhar,2020,2,0.19842824401524936,0.11108132716659458
Nimroz,2020,2,0.07441438938743378,0.05680585391371738
Nuristan,2020,2,0.05090754721505098,0.011457364581088288
Paktya,2020,2,0.08943317796232345,0.04855249597108813
Samangan,2020,2,0.10540597296204947,0.06889174419970377
Sar-e-Pul,2020,2,0.08985582522692542,0.052309695241268155
Takhar,2020,2,0.1042273042483219,0.05786532468776208
Wardak,2020,2,-0.023584588216067792,-0.027475035240516796
Zabul,2020,2,0.0620588793155034,0.037173766944054935
Khost,2020,3,0.24478165497410348,0.14375545400288547
Paktika,2020,3,0.12222309842757957,0.07751125846117747
Daykundi,2020,3,0.08115255865438724,0.047195424662809134
Panjsher,2020,3,0.013909870158090691,-0.002968416736757726
Parwan,2020,3,0.058929749613212894,0.027586137671403364
Uruzgan,2020,3,0.16958191249089716,0.11201064567072268
Badakhshan,2020,3,0.02100403720755533,0.0002627635059212394
Badghis,2020,3,0.28757526677254175,0.18917351812258568
Baghlan,2020,3,0.1243475237320712,0.07019802977541582
Balkh,2020,3,0.1558739901255392,0.11119381833058381
Bamyan,2020,3,0.011266143594392061,0.0023341225486529886
