province,year,month,precip_total_mm
Kunduz,2013,4,66.80149430616561
Laghman,2013,4,74.60841957722573
Logar,2013,4,67.28615094636211
Nangarhar,2013,4,94.76867705651648
Nimroz,2013,4,5.693976014850029
Nuristan,2013,4,61.23245017423141
Paktya,2013,4,86.7748909217994
Samangan,2013,4,76.09530262879069
Sar-e-Pul,2013,4,82.63519559299688
Takhar,2013,4,60.94012480192873
Wardak,2013,4,69.14088913703729
Zabul,2013,4,33.98948406961041
Khost,2013,5,20.02711395333896
Paktika,2013,5,9.089038982245318
Daykundi,2013,5,14.393885253193888
Panjsher,2013,5,16.191366240480217
Parwan,2013,5,22.001922060133385
Uruzgan,2013,5,8.037705578549815
Badakhshan,2013,5,21.639527330601005
Badghis,2013,5,5.113851522946316
Baghlan,2013,5,11.440853706813929
Balkh,2013,5,2.749036583370871
Bamyan,2013,5,13.498607451267025
Farah,2013,5,1.5076561150155594
Faryab,2013,5,4.774750638022994
Ghazni,2013,5,12.98958192539357
Ghor,2013,5,9.152108024946328
Hilmand,2013,5,1.4731326224660841
Hirat,2013,5,1.4624060730193047
Jawzjan,2013,5,0.6035059586316252
Kabul,2013,5,9.568238264998302
Kandahar,2013,5,1.3022586206042803
Kapisa,2013,5,13.209489762534293
Kunar,2013,5,15.852960610994213
Kunduz,2013,5,6.554915050784233
Laghman,2013,5,10.309143571346562
Logar,2013,5,13.464793033737172
Nangarhar,2013,5,10.058922917756258
Nimroz,2013,5,0.17125817367815088
Nuristan,2013,5,12.896092235686087
Paktya,2013,5,19.068967035090303
Samangan,2013,5,8.087255322867266
Sar-e-Pul,2013,5,7.842916797507244
Takhar,2013,5,13.693000383487623
Wardak,2013,5,13.620238818837475
Zabul,2013,5,7.134126145249866
Khost,2013,6,21.464053120829398
Paktika,2013,6,6.843482958169259
Daykundi,2013,6,0.2152598911544837
Panjsher,2013,6,9.540839023327328
Parwan,2013,6,1.7282969675992126
Uruzgan,2013,6,0.11100294295811308
Badakhshan,2013,6,24.686487716335904
Badghis,2013,6,0
Baghlan,2013,6,2.220172774721586
Balkh,2013,6,0.27404679922502134
Bamyan,2013,6,0.16318798662620454
Farah,2013,6,0
Faryab,2013,6,0.0641236303605538
Ghazni,2013,6,0.4524381264548538
Ghor,2013,6,0.01256811392333359
Hilmand,2013,6,0
Hirat,2013,6,0.0208355080684872
Jawzjan,2013,6,0.1470177877437444
Kabul,2013,6,0.7506527975268631
Kandahar,2013,6,0
Kapisa,2013,6,1.207603975197656
Kunar,2013,6,17.39622606653568
Kunduz,2013,6,0.06652762701248366
Laghman,2013,6,7.6322706658031905
Logar,2013,6,1.9780575496526005
Nangarhar,2013,6,10.797879276450812
Nimroz,2013,6,0.0027273522607516526
Nuristan,2013,6,12.460892893943496
Paktya,2013,6,8.576641138179166
Samangan,2013,6,0.021639033590985
Sar-e-Pul,2013,6,0.0028069090087879263
Takhar,2013,6,6.219958281255541
Wardak,2013,6,0.5884322350349763
Zabul,2013,6,0.10835990944376067
Khost,2013,7,44.44231124386757
Paktika,2013,7,21.352086704658596
Daykundi,2013,7,0.7032067858769637
Panjsher,2013,7,10.109171403595674
Parwan,2013,7,1.7864951776532336
Uruzgan,2013,7,0.8773981927105975
