province,year,month,vci,tci,vhi
Kapisa,2021,8,57.14,17.4,37.27
Kunar,2021,8,48.96,0.0,24.48
Kunduz,2021,8,67.29,0.0,33.65
Laghman,2021,8,69.72,17.89,43.81
Logar,2021,8,46.98,23.4,35.19
Nangarhar,2021,8,39.32,6.32,22.82
Nimroz,2021,8,64.54,1.01,32.77
Nuristan,2021,8,45.77,32.79,39.28
Paktya,2021,8,44.34,18.01,31.18
Samangan,2021,8,60.26,18.36,39.31
Sar-e-Pul,2021,8,37.39,0.0,18.69
Takhar,2021,8,48.59,18.3,33.44
Wardak,2021,8,15.92,22.15,19.03
Zabul,2021,8,21.98,14.5,18.24
Khost,2021,9,36.04,78.59,57.32
Paktika,2021,9,17.67,31.77,24.72
Daykundi,2021,9,0.0,0.0,0.0
Panjsher,2021,9,68.03,0.0,34.02
Parwan,2021,9,36.74,11.89,24.31
Uruzgan,2021,9,29.12,14.45,21.79
Badakhshan,2021,9,59.6,0.0,29.8
Badghis,2021,9,6.84,11.42,9.13
Baghlan,2021,9,48.07,12.99,30.53
Balkh,2021,9,18.31,41.54,29.93
Bamyan,2021,9,33.11,0.0,16.56
Farah,2021,9,24.3,48.87,36.58
Faryab,2021,9,18.48,22.62,20.55
Ghazni,2021,9,6.93,8.85,7.89
Ghor,2021,9,0.0,0.0,0.0
Hilmand,2021,9,31.47,38.85,35.16
Hirat,2021,9,15.9,30.08,22.99
Jawzjan,2021,9,29.32,33.47,31.39
Kabul,2021,9,33.78,46.42,40.1
Kandahar,2021,9,26.47,29.18,27.82
Kapisa,2021,9,41.08,56.43,48.75
Kunar,2021,9,30.53,69.71,50.12
Kunduz,2021,9,39.29,44.25,41.77
Laghman,2021,9,37.25,79.32,58.29
Logar,2021,9,35.41,17.92,26.67
Nangarhar,2021,9,30.56,62.88,46.72
Nimroz,2021,9,53.36,36.97,45.17
Nuristan,2021,9,71.17,21.88,46.52
Paktya,2021,9,30.94,22.08,26.51
Samangan,2021,9,42.04,34.3,38.17
Sar-e-Pul,2021,9,22.46,9.12,15.79
Takhar,2021,9,44.25,26.82,35.53
Wardak,2021,9,7.53,0.0,3.76
Zabul,2021,9,18.57,24.12,21.35
Khost,2021,10,41.96,21.43,31.69
Paktika,2021,10,27.61,74.88,51.25
Daykundi,2021,10,26.2,50.36,38.28
Panjsher,2021,10,95.17,25.31,60.24
Parwan,2021,10,48.76,31.59,40.18
Uruzgan,2021,10,20.23,63.97,42.1
Badakhshan,2021,10,85.87,28.8,57.33
Badghis,2021,10,21.51,85.54,53.53
Baghlan,2021,10,60.97,57.14,59.05
Balkh,2021,10,20.21,100.0,60.11
Bamyan,2021,10,36.38,51.86,44.12
Farah,2021,10,10.33,93.39,51.86
Faryab,2021,10,21.29,100.0,60.64
Ghazni,2021,10,0.0,62.93,31.46
Ghor,2021,10,4.89,45.94,25.41
Hilmand,2021,10,18.72,85.48,52.1
Hirat,2021,10,15.03,85.93,50.48
Jawzjan,2021,10,28.24,92.53,60.39
Kabul,2021,10,29.71,23.89,26.8
Kandahar,2021,10,23.07,84.16,53.62
Kapisa,2021,10,43.06,23.16,33.11
Kunar,2021,10,50.47,28.41,39.44
Kunduz,2021,10,57.76,100.0,78.88
Laghman,2021,10,41.55,21.61,31.58
Logar,2021,10,41.28,41.1,41.19
Nangarhar,2021,10,50.15,4.99,27.57
Nimroz,2021,10,25.29,85.06,55.18
Nuristan,2021,10,91.04,20.6,55.82
Paktya,2021,10,31.11,36.73,33.92
Samangan,2021,10,25.17,84.82,55.0
Sar-e-Pul,2021,10,31.21,80.3,55.75
Takhar,2021,10,62.42,58.09,60.25
Wardak,2021,10,0.0,48.11,24.05
Zabul,2021,10,19.69,72.67,46.18
Khost,2021,11,16.21,9.62,12.91
Paktika,2021,11,0.0,0.0,0.0
Daykundi,2021,11,87.49,11.79,49.64
Panjsher,2021,11,66.34,46.59,56.46
Parwan,2021,11,94.01,0.0,47.01
Uruzgan,2021,11,5.71,1.87,3.79
Badakhshan,2021,11,34.81,72.32,53.57
Badghis,2021,11,24.31,51.18,37.74
Baghlan,2021,11,76.15,50.61,63.38
Balkh,2021,11,41.75,46.36,44.05
Bamyan,2021,11,76.08,31.53,53.81
Farah,2021,11,2.78,42.43,22.61
Faryab,2021,11,21.33,45.72,33.53
Ghazni,2021,11,75.57,0.0,37.78
Ghor,2021,11,67.43,31.12,49.27
Hilmand,2021,11,4.41,33.89,19.15
Hirat,2021,11,12.44,35.83,24.14
Jawzjan,2021,11,29.87,33.21,31.54
Kabul,2021,11,38.37,0.0,19.18
Kandahar,2021,11,8.4,30.09,19.24
Kapisa,2021,11,75.54,3.47,39.51
Kunar,2021,11,68.26,13.19,40.72
Kunduz,2021,11,53.35,64.15,58.75
Laghman,2021,11,26.65,8.66,17.66
Logar,2021,11,70.45,0.0,35.22
Nangarhar,2021,11,40.01,4.3,22.16
Nimroz,2021,11,3.1,50.64,26.87
Nuristan,2021,11,69.76,25.42,47.59
Paktya,2021,11,52.34,0.0,26.17
Samangan,2021,11,87.0,53.38,70.19
Sar-e-Pul,2021,11,83.02,51.2,67.11
Takhar,2021,11,72.68,63.31,68.0
Wardak,2021,11,91.55,0.0,45.77
Zabul,2021,11,10.02,4.48,7.25
Khost,2021,12,4.81,92.23,48.52
Paktika,2021,12,3.68,57.47,30.58
Daykundi,2021,12,99.68,23.46,61.57
Panjsher,2021,12,55.98,59.52,57.75
Parwan,2021,12,67.46,52.99,60.22
Uruzgan,2021,12,64.13,25.1,44.61
Badakhshan,2021,12,48.55,59.56,54.06
Badghis,2021,12,44.0,21.25,32.62
Baghlan,2021,12,75.74,45.29,60.51
Balkh,2021,12,50.85,25.69,38.27
Bamyan,2021,12,65.44,35.32,50.38
Farah,2021,12,2.88,37.45,20.17
Faryab,2021,12,54.15,10.7,32.42
Ghazni,2021,12,97.55,36.06,66.8
Ghor,2021,12,68.4,33.57,50.98
Hilmand,2021,12,0.0,55.74,27.87
Hirat,2021,12,6.79,23.42,15.1
Jawzjan,2021,12,33.74,13.79,23.77
Kabul,2021,12,38.59,75.03,56.81
Kandahar,2021,12,7.67,59.84,33.76
Kapisa,2021,12,58.15,64.84,61.5
Kunar,2021,12,46.01,65.53,55.77
Kunduz,2021,12,58.84,43.55,51.2
Laghman,2021,12,40.69,68.59,54.64
Logar,2021,12,55.95,69.49,62.72
Nangarhar,2021,12,9.04,75.49,42.26
Nimroz,2021,12,6.69,57.9,32.29
Nuristan,2021,12,72.08,43.5,57.79
Paktya,2021,12,49.77,55.62,52.7
Samangan,2021,12,87.52,38.99,63.26
Sar-e-Pul,2021,12,71.13,32.17,51.65
Takhar,2021,12,77.23,45.54,61.39
Wardak,2021,12,99.27,35.01,67.14
Zabul,2021,12,19.06,45.3,32.18
Khost,2022,1,0.0,77.4,38.7
Paktika,2022,1,56.21,58.29,57.25
Daykundi,2022,1,19.43,74.77,47.1
Panjsher,2022,1,0.0,62.36,31.18
Parwan,2022,1,29.18,76.69,52.94
Uruzgan,2022,1,34.08,67.31,50.69
Badakhshan,2022,1,44.06,57.42,50.74
Badghis,2022,1,25.61,70.56,48.09
Baghlan,2022,1,82.33,50.46,66.39
Balkh,2022,1,53.69,68.15,60.92
Bamyan,2022,1,0.0,68.64,34.32
Farah,2022,1,0.0,65.31,32.65
Faryab,2022,1,34.78,58.83,46.81
Ghazni,2022,1,25.0,67.68,46.34
Ghor,2022,1,7.67,78.9,43.29
Hilmand,2022,1,10.75,55.57,33.16
